Jop title,Company name,Location,Posted,Skills,links
Costing and Pricing Senior Analyst,IDH -,"6th of October, Giza, Egypt",2 months ago,Full TimeOn-siteEntry Level / 4 - 5 Yrs of Exp / Accounting/Finance / Costing / Business Analysis,https://wuzzuf.net/jobs/p/r2oUw1SQ1qn4-Costing-and-Pricing-Senior-Analyst-IDH-Giza-Egypt
Data Analyst,Noon - The Social Learning Platform -,"Riyadh, Saudi Arabia",1 month ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / SQL / Microsoft Office / Microsoft Excel,https://wuzzuf.net/jobs/p/g/jFNBLG1NsHT7-Data-Analyst-Noon---The-Social-Learning-Platform-Riyadh-Saudi-Arabia
Network Data Analyst,Ookla -,"Riyadh, Saudi Arabia",1 month ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / Microsoft Office / SQL / Microsoft Excel,https://wuzzuf.net/jobs/p/g/Zq8ykJYHgrq0-Network-Data-Analyst-Ookla-Riyadh-Saudi-Arabia
Office Manager and Financial Analyst,British University of Egypt -,"Shorouk City, Cairo, Egypt",8 days ago,Full TimeOn-siteExperienced / 4 - 6 Yrs of Exp / Accounting/Finance / Administration / Finance / Analysis / Business Administration / Administration,https://wuzzuf.net/jobs/p/kTUapkqBqbUv-Office-Manager-and-Financial-Analyst-British-University-of-Egypt-Cairo-Egypt
Data Analyst (0 Experience Required),Peroptyx -,"Riyadh, Saudi Arabia",2 days ago,Freelance / ProjectEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / SQL / Microsoft Office / Microsoft Excel,https://wuzzuf.net/jobs/p/g/1LUoMAAqCGKY-Data-Analyst-0-Experience-Required-Peroptyx-Riyadh-Saudi-Arabia
Digital Marketing Analyst,ELHODA Trade & Supples -,"Badr City, Cairo, Egypt",2 days ago,Full TimeOn-siteExperienced / 4 - 7 Yrs of Exp / females_preferred / Creative/Design/Art / Marketing/PR/Advertising / digital marketing / E-Marketing / Marketing / Marketing Analyst / Social Media / Digital Marketing,https://wuzzuf.net/jobs/p/yXhk79zGCWb8-Digital-Marketing-Analyst-ELHODA-Trade-Supples-Cairo-Egypt
Data Entry Analyst / Full-time (Remote),ScoutMine -,"Makkah, Saudi Arabia",2 days ago,Full TimeNot specified / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Computer Science / Engineering / Information Technology (IT) / Administration / CSS / HTML / ISTQB,https://wuzzuf.net/jobs/p/g/hCOziiAXZLFm-Data-Entry-Analyst-Full-time-Remote-ScoutMine-Makkah-Saudi-Arabia
Data Entry Analyst - Full-time (Remote),ScoutMine -,"Dubai, United Arab Emirates",2 days ago,Full TimeNot specified / Administration / IT/Software Development / Analyst/Research / Data Entry / Administration / Microsoft Office / Data Analysis / Admin / Analysis / Microsoft Excel,https://wuzzuf.net/jobs/p/g/VVueKGMKG7c2-Data-Entry-Analyst---Full-time-Remote-ScoutMine-Dubai-United-Arab-Emirates
Full-time Data Entry Analyst (Remote),ScoutMine -,"Dubai, United Arab Emirates",2 days ago,Full TimeNot specified / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Computer Science / Engineering / Information Technology (IT) / Administration / CSS / HTML / ISTQB,https://wuzzuf.net/jobs/p/g/MgBP6a06wzKn-Full-time-Data-Entry-Analyst-Remote-ScoutMine-Dubai-United-Arab-Emirates
Data Entry Analyst (Remote),ScoutMine -,"Riyadh, Saudi Arabia",2 days ago,Full TimeNot specified / Administration / IT/Software Development / Analyst/Research / Data Entry / Administration / Microsoft Office / Data Analysis / Admin / Analysis / Microsoft Excel,https://wuzzuf.net/jobs/p/g/s58gaOFUkwdm-Data-Entry-Analyst-Remote-ScoutMine-Riyadh-Saudi-Arabia
Data Entry Analyst - Entry level (Remote),ScoutMine -,"Dubai, United Arab Emirates",1 month ago,Full TimeNot specified / Administration / IT/Software Development / Analyst/Research / Data Entry / Administration / Microsoft Office / Data Analysis / Admin / Analysis / Microsoft Excel,https://wuzzuf.net/jobs/p/g/5VlNeTcuqkbD-Data-Entry-Analyst---Entry-level-Remote-ScoutMine-Dubai-United-Arab-Emirates
Entry-level Data Entry Analyst (Remote),ScoutMine -,"Makkah, Saudi Arabia",1 month ago,Full TimeNot specified / Administration / Customer Service/Support / Writing/Editorial / Data Entry / Administration / Microsoft Office / Admin / Typing / Customer Service / Microsoft Excel,https://wuzzuf.net/jobs/p/g/pqXAhqsIui0k-Entry-level-Data-Entry-Analyst-Remote-ScoutMine-Makkah-Saudi-Arabia
Senior Financial Analyst,classera -,"New Cairo, Cairo, Egypt",2 months ago,Full TimeHybridExperienced / 5 - 7 Yrs of Exp / Accounting/Finance / Project/Program Management / Analyst/Research / Budgeting / Analyst / Finance / Financial Analysis / financial analyst / Cost / Data,https://wuzzuf.net/jobs/p/FgIhrjXaaeRX-Senior-Financial-Analyst-classera-Cairo-Egypt
Marketing Analyst,Confidential -,"Giza, Egypt",1 month ago,Full TimeOn-siteExperienced / 2 - 5 Yrs of Exp / Marketing/PR/Advertising / Analyst/Research / Economics / Market Analysis / Market Research / Marketing / Political Science / Research / Analysis / Communication,https://wuzzuf.net/jobs/p/ms8gOGPapabJ-Marketing-Analyst-Giza-Egypt
Statistical analysis consultant,Exco Egypt -,"Nasr City, Cairo, Egypt",1 month ago,Full TimeOn-siteManager / 12 - 16 Yrs of Exp / Strategy/Consulting / Analyst / Mathematics / Communication / Data / Finance / Statistics / Accounting / Software,https://wuzzuf.net/jobs/p/SVlgFF15DPMx-Statistical-analysis-consultant-Exco-Egypt-Cairo-Egypt
Software Business Analyst,Obeikan Digital Solutions -,"Cairo, Egypt",1 month ago,Full TimeHybridExperienced / 3 - 6 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Analysis / analytical / Business Analysis / Communication / Communication skills / Computer Science / Development,https://wuzzuf.net/jobs/p/z4sJXQ52LudS-Software-Business-Analyst-Obeikan-Digital-Solutions-Cairo-Egypt
Financial Analyst,Xceed Contact Center -,"Maadi, Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 2 - 3 Yrs of Exp / Accounting/Finance / Banking / Analyst/Research / Administration / business / CMA / Economics / Commerce / Business Administration / Accounting,https://wuzzuf.net/jobs/p/edxZ7y0jUZ8A-Financial-Analyst-Xceed-Contact-Center-Cairo-Egypt
Financial Analyst,IGI-Group -,"Sheikh Zayed, Giza, Egypt",1 month ago,Full TimeOn-siteExperienced / 4+ Yrs of Exp / Accounting/Finance / Analyst/Research / Commerce / Business Administration / Finance / Financial Analysis / CFA / Investment Banking,https://wuzzuf.net/jobs/p/je3j45v6XmDq-Financial-Analyst-IGI-Group-Giza-Egypt
